DataValue,NameEN,NamePT
AFIS2020,Anti Fraud Information System (AFIS),Sistema de Informação Antifraude (AFIS)
AGR,European Agricultural Guarantee Fund (after transfers between EAGF and EAFRD),Fundo Europeu Agrícola de Garantia (após transferências entre o FEAGA e o FEADER)
AMF,Asylum and Migration Fund (AMF),Fundo para o Asilo e a Migração (FAM)
AMIF,"Asylum, Migration and Integration Fund (AMIF)","Fundo para o Asilo, a Migração e a Integração (FAMI)"
ANTIFRAUD,EU Anti-Fraud Programme,Programa Antifraude da UE
BMVI,Integrated Border Management Fund (IBMF) – instrument for border management and visa (BMVi),Fundo de Gestão Integrada das Fronteiras (FGIF) - Instrumento de Gestão das Fronteiras e dos Vistos (IGFV)
CCEI,Integrated Border Management Fund (IBMF) – Instrument for financial support for customs control equipment (CCEi),Fundo de Gestão Integrada das Fronteiras (FGIF) - Instrumento de apoio financeiro aos equipamentos de controlo aduaneiro
CDF2020,"Rights, equality and citizenship programme","Programa «Direitos, Igualdade e Cidadania»"
CEF,Connecting Europe Facility (CEF 2014–2020),Mecanismo Interligar a Europa (MIE 2014–2020)
CEF_2021,Connecting Europe Facility (CEF 2021),Mecanismo Interligar a Europa (MIE 2021)
CERV,"Citizens, Equality, Rights and Values","Cidadãos, Igualdade, Direitos e Valores"
CF,Cohesion Fund (CF),Fundo de Coesão (FC)
CF_2021,Cohesion Fund (CF),Fundo de Coesão (FC)
CF_DET,Contribution from the Cohesion Fund to the CEF programme,Contribuição do Fundo de Coesão para o programa MIE
CFSP_2021,Common Foreign and Security Policy (CFSP),Política Externa e de Segurança Comum (PESC)
CFSP2020,Common foreign and security policy (CFSP),Política Externa e de Segurança Comum (PESC)
CIFP_07_13,Competitiveness and Innovation Framework Programme,Programa-Quadro para a Competitividade e a Inovação
CIT2020,Europe for Citizens,Europa para os Cidadãos
COMPREG,Competitiveness (more developed regions),Competitividade (regiões mais desenvolvidas)
CONS,Consumer programme,Programa Consumidores
COPERNICUS,European Earth Observation Programme (Copernicus),Programa Europeu de Monitorização da Terra (Copernicus)
COSME,Programme for the competitiveness of enterprises and small and medium-sized enterprises (COSME),Programa para a Competitividade das Empresas e PME (COSME)
CPM_H3,Union Civil Protection Mechanism — Member States,Mecanismo de Proteção Civil da União — Estados-Membros
CPM_H4,Union Civil Protection Mechanism — Outside EU,Mecanismo de Proteção Civil da União — No exterior da UE
CREA,Creative Europe programme,Programa Europa Criativa
